ComplexID,ComplexName,Organism,Synonyms,Cell line,subunits(UniProt IDs),subunits(Entrez IDs),Protein complex purification method,GO ID,GO description,FunCat ID,FunCat description,PubMed ID,Complex comment,Disease comment,Subunits comment,SWISSPROT organism,subunits(Protein name),subunits(Gene name),subunits(Gene name syn)
188,Wave-2 complex,Mouse,None,None,P28660;Q7TMB8;Q8BH43;Q8CBW3,50884;20430;242687;11308,MI:0019- coimmunoprecipitation; MI:0096- pull down,GO:0007264;GO:0006928;GO:0030036;GO:0015629,small GTPase mediated signal transduction;movement of cell or subcellular component;actin cytoskeleton organization;actin cytoskeleton,30.01.05.05.01;34.05;42.04.03;70.04.03,small GTPase mediated signal transduction;cell motility;actin cytoskeleton;actin cytoskeleton,14765121,"The complex is constitutively assembled in the presence and absence of active Rac in vivo. The authors show that Sra-1 and Nap1 colocalize with Abi-1 and WAVE2 at the interface between the lamellipodial actin meshwork and the membrane. These proteins form stable complexes in vivo that can be immunoprecipitated from resting cells, upon Rac activation by AlF treatment and upon overexpression of constitutively active Rac.",None,None,Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse),Nck-associated protein 1 ;Cytoplasmic FMR1-interacting protein 1 ;Wiskott-Aldrich syndrome protein family member 2 ;Abl interactor 1,Nckap1;Cyfip1;Wasf2;Abi1,Hem2 Kiaa0587 Nap1;Kiaa0068 Shyc Sra1;Wave2;Ssh3bp1
216,PDZK1-NaPiIIa-MAP17 complex,Mouse,None,None,Q60825;Q9CQH0;Q9JIL4,20505;67182;59020,MI:0018-two hybrid,GO:0006811,ion transport,20.01.01,ion transport,12837682,None,None,None,Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse),Sodium-dependent phosphate transport protein 2A;PDZK1-interacting protein 1;Na(+)/H(+) exchange regulatory cofactor NHE-RF3,Slc34a1;Pdzk1ip1;Pdzk1,"Npt2, Slc17a2;Map17;Cap70 Nherf3"
239,Sin3-Hdac1-Sds3 complex,Mouse,None,None,O09106;Q62141;Q8BR65,433759;20467;71954,MI:0006- anti bait coimmunoprecipitation; MI:0007- anti tag coimmunoprecipitation,GO:0006265;GO:0045892;GO:0032774;GO:0006473;GO:0006476;GO:0051276;GO:0005634,"DNA topological change;negative regulation of transcription, DNA-templated;RNA biosynthetic process;protein acetylation;protein deacetylation;chromosome organization;nucleus",10.01.09.05;11.02.03.04.03;11.02;14.07.04;42.10.03;70.10,"DNA conformation modification (e.g. chromatin);transcription repression;RNA synthesis;modification by acetylation, deacetylation;organization of chromosome structure;nucleus",11909966,None,None,None,Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse),Histone deacetylase 1;Paired amphipathic helix protein Sin3b ;Sin3 histone deacetylase corepressor complex component SDS3,Hdac1;Sin3b;Suds3,None;Kiaa0700;Sds3
349,Sarcoglycan-sarcospan-syntrophin-dystrobrevin complex,Mouse,None,muscle,P82347;P82348;P82349;P82350;Q61234;Q62147;Q99L88;Q9D2N4,24052;24053;24051;20391;20648;16651;20649;13527,MI:0091-chromatography technologies;MI:0019-coimmunoprecipitation,GO:0006936;GO:0007517;GO:0005886,muscle contraction;muscle organ development;plasma membrane,36.25.09;45.03.12;70.02,muscle contraction;muscle;eukaryotic plasma membrane / membrane attached,10767327,The authors consider that the sarcoglycan-sarcospan complex is linked to the signaling protein neuronal nitric oxide synthase via alpha-syntrophin associated with dystrobrevin.,Sarcoglycan complex (SGC) is involved in muscular dystrophy and cardiomyopathy (PMID:15117830).,None,Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse),Delta-sarcoglycan;Gamma-sarcoglycan;Beta-sarcoglycan;Alpha-sarcoglycan;Alpha-1-syntrophin;Sarcospan;Beta-1-syntrophin;Dystrobrevin alpha,Sgcd;Sgcg;Sgcb;Sgca;Snta1;Sspn;Sntb1;Dtna,None;None;None;None;Snt1;Krag;Snt2b1;Dtn
367,Rag1-Rag2-Ku70-Ku80 protein-DNA complex,Mouse,None,None,P15919;P21784;P23475;P27641;P63158,19373;19374;14375;22596;15289,MI:0006- anti bait coimmunoprecipitation,GO:0006312;GO:0003677;GO:0005634,mitotic recombination;DNA binding;nucleus,10.01.05.03.03;16.03.01;70.10,somatic / mitotic recombination;DNA binding;nucleus,9094713,A stable complex is formed only in the presence of DNA and Rag1/2.,None,None,Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse),V;V;X-ray repair cross-complementing protein 6 ;X-ray repair cross-complementing protein 5 ;High mobility group protein B1,Rag1;Rag2;Xrcc6;Xrcc5;Hmgb1,;Rag-2;G22p1 Ku70;G22p2;Hmg-1 Hmg1
381,"Respiratory chain complex I, mitochondrial",Mouse,NADH dehydrogenase (EC 1.6.5.3),brain,O09111;P03888;P03911;P52503;Q3UIU2;Q62425;Q7TMF3;Q8K3J1;Q91VD9;Q91WD5;Q91WP8;Q91YT0;Q99LC3;Q99LY9;Q9CPP6;Q9CQ54;Q9CQ75;Q9CQ91;Q9CQC7;Q9CQH3;Q9CQJ8;Q9CQZ5;Q9CQZ6;Q9CR21;Q9CR61;Q9CXZ1;Q9D6J5;Q9D6J6;Q9DC69;Q9DC70;Q9DCJ5;Q9DCS9;Q9DCT2;Q9ERS2;Q9MD59;Q9MD82;Q9Z1P6,104130;17716;17719;407785;230075;17992;66414;225887;227197;226646;78330;17995;67273;595136;68202;68197;17991;66091;68194;66046;66218;67130;66495;70316;66916;17993;67264;72900;66108;75406;68375;68342;68349;67184;17717;17721;66416,MI:0029-cosedimentation through density gradients,GO:0006818;GO:0022904;GO:0005743;GO:0006119;GO:0009060,hydrogen transport;respiratory electron transport chain;mitochondrial inner membrane;oxidative phosphorylation;aerobic respiration,20.01.15;02.11.07;70.16.05;02.13.03,electron transport;regulation of electron transport and membrane-associated energy conservation;mitochondrial inner membrane;aerobic respiration,15591592,Complex I is the first multiprotein complex of the OXPHOS system and participates in the formation of a proton gradient across the inner mitochondrial membrane coupled to transfer of electrons from NADH to ubiquinone.,None,None,Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse),"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 11, mitochondrial;NADH-ubiquinone oxidoreductase chain 1;NADH-ubiquinone oxidoreductase chain 4;NADH dehydrogenase [ubiquinone] iron-sulfur protein 6, mitochondrial;NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 6;Cytochrome c oxidase subunit NDUFA4;NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 12;NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial;NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial;NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial;NADH dehydrogenase;NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial;NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial;NADH dehydrogenase [ubiquinone] iron-sulfur protein 5;NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 5;NADH dehydrogenase [ubiquinone] 1 subunit C2;NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 2;NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 3;NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 4;NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 5, mitochondrial;NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 9;NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 6;NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 3;Acyl carrier protein, mitochondrial;NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 7;NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial;NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 8, mitochondrial;NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial;NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 9, mitochondrial;NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial;NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 8;NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 10;NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial;NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13;NADH-ubiquinone oxidoreductase chain 2;NADH-ubiquinone oxidoreductase chain 5;NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 7",Ndufb11;Mtnd1;Mtnd4;Ndufs6;Ndufb6;Ndufa4;Ndufa12;Ndufs8;Ndufs1;Ndufs2;Ndufv3;Ndufv1;Ndufa10;Ndufs5;Ndufa5;Ndufc2;Ndufa2;Ndufa3;Ndufb4;Ndufb5;Ndufb9;Ndufa6;Ndufb3;Ndufab1;Ndufb7;Ndufs4;Ndufb8;Ndufv2;Ndufa9;Ndufs7;Ndufa8;Ndufb10;Ndufs3;Ndufa13;mt-Nd2;mt-Nd5;Ndufa7,Np15;mt-Nd1 Nd1;mt-Nd4 Nd4;Ip13;Gm137;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;Grim19;ND2 Nd2;mt-Nd6 ND5 Nd5;None
382,"Respiratory chain complex I, mitochondrial",Mouse,NADH dehydrogenase (EC 1.6.5.3),brain,O09111;O35683;P03888;P03899;P03911;P52503;Q3UIU2;Q62425;Q7TMF3;Q8K3J1;Q91VD9;Q91WD5;Q91WP8;Q91YT0;Q99LC3;Q99LY9;Q9CPP6;Q9CPU2;Q9CQ54;Q9CQ75;Q9CQ91;Q9CQC7;Q9CQH3;Q9CQJ8;Q9CQZ5;Q9CQZ6;Q9CR21;Q9CR61;Q9CXZ1;Q9D6J5;Q9D6J6;Q9D8B4;Q9DC69;Q9DC70;Q9DCJ5;Q9DCS9;Q9DCT2;Q9ERS2;Q9MD82;Q9Z1P6,104130;54405;17716;17718;17719;407785;230075;17992;66414;225887;227197;226646;78330;17995;67273;595136;68202;68198;68197;17991;66091;68194;66046;66218;67130;66495;70316;66916;17993;67264;72900;69875;66108;75406;68375;68342;68349;67184;17721;66416,MI:0006-anti bait coimmunoprecipitation,GO:0006818;GO:0022904;GO:0005743;GO:0006119;GO:0009060,hydrogen transport;respiratory electron transport chain;mitochondrial inner membrane;oxidative phosphorylation;aerobic respiration,20.01.15;02.11.07;70.16.05;02.13.03,electron transport;regulation of electron transport and membrane-associated energy conservation;mitochondrial inner membrane;aerobic respiration,15591592,Complex I is the first multiprotein complex of the OXPHOS system and participates in the formation of a proton gradient across the inner mitochondrial membrane coupled to transfer of electrons from NADH to ubiquinone.,None,None,Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse),"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 11, mitochondrial;NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 1;NADH-ubiquinone oxidoreductase chain 1;NADH-ubiquinone oxidoreductase chain 3;NADH-ubiquinone oxidoreductase chain 4;NADH dehydrogenase [ubiquinone] iron-sulfur protein 6, mitochondrial;NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 6;Cytochrome c oxidase subunit NDUFA4;NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 12;NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial;NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial;NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial;NADH dehydrogenase;NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial;NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial;NADH dehydrogenase [ubiquinone] iron-sulfur protein 5;NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 5;NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 2, mitochondrial;NADH dehydrogenase [ubiquinone] 1 subunit C2;NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 2;NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 3;NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 4;NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 5, mitochondrial;NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 9;NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 6;NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 3;Acyl carrier protein, mitochondrial;NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 7;NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial;NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 8, mitochondrial;NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial;NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 11;NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 9, mitochondrial;NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial;NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 8;NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 10;NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial;NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13;NADH-ubiquinone oxidoreductase chain 5;NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 7",Ndufb11;Ndufa1;Mtnd1;Mtnd3;Mtnd4;Ndufs6;Ndufb6;Ndufa4;Ndufa12;Ndufs8;Ndufs1;Ndufs2;Ndufv3;Ndufv1;Ndufa10;Ndufs5;Ndufa5;Ndufb2;Ndufc2;Ndufa2;Ndufa3;Ndufb4;Ndufb5;Ndufb9;Ndufa6;Ndufb3;Ndufab1;Ndufb7;Ndufs4;Ndufb8;Ndufv2;Ndufa11;Ndufa9;Ndufs7;Ndufa8;Ndufb10;Ndufs3;Ndufa13;mt-Nd5;Ndufa7,Np15;None;mt-Nd1 Nd1;mt-Nd3 Nd3;mt-Nd4 Nd4;Ip13;Gm137;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;Grim19;mt-Nd6 ND5 Nd5;None
384,Caveolar macromolecular signaling complex,Mouse,None,heart muscle,P18762;P31324;P51637;P63094;P97490;Q01815;Q76MZ3,11555;19088;12391;14683;11514;12288;51792,MI:0006-anti bait coimmunoprecipitation,GO:0007186;GO:0006941;GO:0005886,G-protein coupled receptor signaling pathway;striated muscle contraction;plasma membrane,30.05.02.24;36.25.09.03;70.02,G-protein coupled receptor signalling pathway;striated muscle contraction;eukaryotic plasma membrane / membrane attached,16648270,"Anti-Ca(v)1.2 used for coimmunoprecipitation. The authors didn't differentiate between the different types of adenylate cyclases, Adcy8 was chosen due to its molecular weight, complex isolated from ventricular myocytes.",None,None,Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse),Beta-2 adrenergic receptor;cAMP-dependent protein kinase type II-beta regulatory subunit;Caveolin-3;Guanine nucleotide-binding protein G;Adenylate cyclase type 8;Voltage-dependent L-type calcium channel subunit alpha-1C;Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform,Adrb2;Prkar2b;Cav3;Gnas;Adcy8;Cacna1c;Ppp2r1a,Adrb2r;None;None;Gnas1;None;Cach2 Cacn2 Cacnl1a1 Cchl1a1;None
385,"Caveolar macromolecular signaling complex, using anti-Cav-3",Mouse,None,heart muscle,P18762;P31324;P51637;P63094;P97490;Q01815;Q61018;Q76MZ3,11555;19088;12391;14683;11514;12288;14677;51792,MI:0006-anti bait coimmunoprecipitation,GO:0007186;GO:0006941;GO:0005886,G-protein coupled receptor signaling pathway;striated muscle contraction;plasma membrane,30.05.02.24;36.25.09.03;70.02,G-protein coupled receptor signalling pathway;striated muscle contraction;eukaryotic plasma membrane / membrane attached,16648270,None,None,"The authors didn't differentiate between the different types of adenylate cyclases, Adcy8 was chosen due to its molecular weight, complex isolated from ventricular myocytes.",Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse),Beta-2 adrenergic receptor;cAMP-dependent protein kinase type II-beta regulatory subunit;Caveolin-3;Guanine nucleotide-binding protein G;Adenylate cyclase type 8;Voltage-dependent L-type calcium channel subunit alpha-1C;G protein alpha i1 subunit;Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform,Adrb2;Prkar2b;Cav3;Gnas;Adcy8;Cacna1c;Gnai1;Ppp2r1a,Adrb2r;None;None;Gnas1;None;Cach2 Cacn2 Cacnl1a1 Cchl1a1;None;None
395,"Succinyl-CoA synthetase, ADP-forming",Mouse,succinyl-CoA ligase,None,Q9WUM5;Q9Z2I9,56451;20916,MI:0027-cosedimentation,GO:0006163;GO:0006144;GO:0008152;GO:0005515;GO:0005524;GO:0005739,purine nucleotide metabolic process;purine nucleobase metabolic process;metabolic process;protein binding;ATP binding;mitochondrion,01.03.01;01;16.01;16.19.03;70.16,purin nucleotide/nucleoside/nucleobase metabolism;METABOLISM;protein binding;ATP binding;mitochondrion,15234968,None,"A deletion in SUCLG1, a gene that encodes the alpha subunit of the Krebs-cycle enzyme succinate-coenzyme A ligase (SUCL) causes fatal infantile lactic acidosis(PMID:17668387).",None,Mus musculus (Mouse);Mus musculus (Mouse),"Succinate--CoA ligase [ADP/GDP-forming] subunit alpha, mitochondrial;Succinate--CoA ligase [ADP-forming] subunit beta, mitochondrial",Suclg1;Sucla2,None;None
396,"Succinyl-CoA synthetase, GDP-forming",Mouse,succinyl-CoA ligase,None,Q9WUM5;Q9Z2I8,56451;20917,MI:0027-cosedimentation,GO:0006163;GO:0006144;GO:0005515;GO:0005525;GO:0005739,purine nucleotide metabolic process;purine nucleobase metabolic process;protein binding;GTP binding;mitochondrion,01.03.01;16.01;16.19.05;70.16,purin nucleotide/nucleoside/nucleobase metabolism;protein binding;GTP binding;mitochondrion,15234968,None,"A deletion in SUCLG1, a gene that encodes the alpha subunit of the Krebs-cycle enzyme succinate-coenzyme A ligase (SUCL) causes fatal infantile lactic acidosis(PMID:17668387).",None,Mus musculus (Mouse);Mus musculus (Mouse),"Succinate--CoA ligase [ADP/GDP-forming] subunit alpha, mitochondrial;Succinate--CoA ligase [GDP-forming] subunit beta, mitochondrial",Suclg1;Suclg2,None;None
398,Egasyn-glucuronidase complex,Mouse,None,None,P12265;Q64176,110006;13897,MI:0404- comigration in non denaturing gel electrophoresis,GO:0005783,endoplasmic reticulum,70.07,endoplasmic reticulum,7744842,A region including the serpin-like sequence in the glucuronidase propeptide is essential for complex formation with egasyn and ER retention of glucuronidase.,None,None,Mus musculus (Mouse);Mus musculus (Mouse),Beta-glucuronidase ;Carboxylesterase 1E,Gusb;Ces1e,Gus Gus-s;Es22
413,"(ER)-localized multiprotein complex, Ig heavy chains associated",Mouse,None,AG8 cell line,P08003;P08113;P09103;P20029;P24369;Q6P5E4;Q99KV1;Q9ESP1;Q9JKR6;Q9JLK7,12304;22027;18453;14828;19035;320011;67838;64136;12282;29867,MI:0031- protein cross-linking with a bifunctional reagent; MI:0096- pull down,GO:0050821;GO:0006457;GO:0030968;GO:0005783,protein stabilization;protein folding;endoplasmic reticulum unfolded protein response;endoplasmic reticulum,14.01;32.01.07;70.07,protein folding and stabilization;unfolded protein response (e.g. ER quality control);endoplasmic reticulum,12475965,"Complex isolated in mouse lymphoma cell lines Ag8(8). The assembly of the chaperones with each other is not dependent on the presence of unassembled, unfolded heavy chains but rather that unassembled heavy chains may bind to this preformed ER chaperone network.",None,None,Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse),Protein disulfide-isomerase A4 ;Endoplasmin;Protein disulfide-isomerase ;78 kDa glucose-regulated protein ;Peptidyl-prolyl cis-trans isomerase B ;UDP-glucose:glycoprotein glucosyltransferase 1 ;DnaJ homolog subfamily B member 11 ;Stromal cell-derived factor 2-like protein 1 ;Hypoxia up-regulated protein 1 ;Calcium-binding protein 1,Pdia4;Hsp90b1;P4hb;Hspa5;Ppib;Uggt1;Dnajb11;Sdf2l1;Hyou1;Cabp1,"Cai Erp72;Grp94, Tra-1, Tra1, Gp96;Pdia1;Grp78;;Gt Ugcgl1 Uggt Ugt1 Ugtr;;;Grp170;"
414,"(ER)-localized multiprotein complex, in absence of Ig heavy chains",Mouse,None,Ag8.653 cells,P08003;P08113;P09103;P20029;P24369;Q6P5E4;Q9ESP1;Q9JKR6;Q9JLK7,12304;22027;18453;14828;19035;320011;64136;12282;29867,MI:0031- protein cross-linking with a bifunctional reagent; MI:0096- pull down; MI:0019- coimmunoprecipitation,GO:0050821;GO:0006457;GO:0030968;GO:0005783,protein stabilization;protein folding;endoplasmic reticulum unfolded protein response;endoplasmic reticulum,14.01;32.01.07;70.07,protein folding and stabilization;unfolded protein response (e.g. ER quality control);endoplasmic reticulum,12475965,"The assembly of the chaperones with each other is not dependent on the presence of unassembled, unfolded heavy chains but rather that unassembled heavy chains may bind to this preformed ER chaperone network.",None,None,Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse),Protein disulfide-isomerase A4 ;Endoplasmin;Protein disulfide-isomerase ;78 kDa glucose-regulated protein ;Peptidyl-prolyl cis-trans isomerase B ;UDP-glucose:glycoprotein glucosyltransferase 1 ;Stromal cell-derived factor 2-like protein 1 ;Hypoxia up-regulated protein 1 ;Calcium-binding protein 1,Pdia4;Hsp90b1;P4hb;Hspa5;Ppib;Uggt1;Sdf2l1;Hyou1;Cabp1,"Cai Erp72;Grp94, Tra-1, Tra1, Gp96;Pdia1;Grp78;;Gt Ugcgl1 Uggt Ugt1 Ugtr;;Grp170;"
418,H/ACA ribonucleoprotein complex,Rat,None,None,P40615;Q6AYA1;Q9CQS2;Q9CRB2,170944;499709;66181;52530,MI:0019- coimmunoprecipitation; MI:0071- molecular sieving,GO:0009187;GO:0000154;GO:0005515;GO:0005730,cyclic nucleotide metabolic process;rRNA modification;protein binding;nucleolus,01.03.10;11.06.01;16.01;70.10.07,metabolism of cyclic and unusual nucleotides;rRNA modification;protein binding;nucleolus,12446766,"NAP57, GAR1, NHP2, and NOP10, and a snoRNA were apparently sufficient for site-specific pseudouridylation of synthetic rRNA substrates. Except for physiological concentration of salt, no exogenous factors were required for catalysis. The box H/ACA snoRNPs associated with phosphorylated but not dephosphorylated Nopp140 and were active in rRNA pseudouridylation independently of their Nopp140 association.",None,"Since Nhp2 and Nop10 from rat were not available in the UniProt database at the time of annotation, the orthologous proteins from mouse were used.",Rattus norvegicus (Rat);Rattus norvegicus (Rat);Mus musculus (Mouse);Mus musculus (Mouse),H/ACA ribonucleoprotein complex subunit 4 ;H/ACA ribonucleoprotein complex subunit 1 ;H/ACA ribonucleoprotein complex subunit 3 ;H/ACA ribonucleoprotein complex subunit 2,Dkc1;Gar1;Nop10;Nhp2,Nap57;Nola1;Nola3;Nola2
420,Dlg1-Cav3-Kcna5 complex,Mammalia,SAP97-Cav-3-Kv1.5 complex,"COS-7 cells, heart muscle",P19024;P51637;Q811D0,25470;12391;13383,MI:0096-pull down,GO:0006461;GO:0005886;GO:0043266;GO:0042391,protein complex assembly;plasma membrane;regulation of potassium ion transport;regulation of membrane potential,14.10;70.02,assembly of protein complexes;eukaryotic plasma membrane / membrane attached,15277200,The results show that a scaffolding complex containing Cav-3 and SAP97 can recruit Kv1.5 by means of multiple protein-protein interactions.,None,None,Rattus norvegicus (Rat);Mus musculus (Mouse);Mus musculus (Mouse),Potassium voltage-gated channel subfamily A member 5;Caveolin-3;Disks large homolog 1,Kcna5;Cav3;Dlg1,"Kv1.5;None;Dlgh1, SAP97"
427,Tripeptidyl peptidase,Mouse,TPPII,None,Q64514,22019,MI:0226- ion exchange chromatography; MI:0071- molecular sieving,GO:0044257;GO:0005737,cellular protein catabolic process;cytoplasm,14.13.01;70.03,cytoplasmic and nuclear protein degradation;cytoplasm,9974389,"TPPII is a homomeric high molecular-weight protease with an estimated mass between 5 and 9 MD. The particle is larger than the 26S proteasome and has a rod-shaped, dynamic supramolecular structure. TPPII exhibits enhanced activity in proteasome inhibitor-adapted cells and degrades polypeptides by exo- as well as predominantly trypsin-like endoproteolytic cleavage.",None,None,Mus musculus (Mouse),Tripeptidyl-peptidase 2,Tpp2,None
