yourlist:M20220311F248CABF64506F29A91F8037F07B67D145D581K,Entry,Entry name,Status,Protein names,Gene names,Organism,Length
O88851,O88851,RBBP9_MOUSE,reviewed,Putative hydrolase RBBP9 (EC 3.-.-.-) (B5T-overexpressed gene protein) (Protein BOG) (Retinoblastoma-binding protein 9) (RBBP-9),Rbbp9 Bog,Mus musculus (Mouse),186
Q8C2Q3,Q8C2Q3,RBM14_MOUSE,reviewed,RNA-binding protein 14 (RNA-binding motif protein 14),Rbm14,Mus musculus (Mouse),669
Q9WV02,Q9WV02,RBMX_MOUSE,reviewed,"RNA-binding motif protein, X chromosome (Heterogeneous nuclear ribonucleoprotein G) (hnRNP G) [Cleaved into: RNA-binding motif protein, X chromosome, N-terminally processed]",Rbmx Hnrnpg Hnrpg Rbmxp1 Rbmxrt,Mus musculus (Mouse),391
Q9WVB0,Q9WVB0,RBPMS_MOUSE,reviewed,RNA-binding protein with multiple splicing (RBP-MS) (Heart and RRM expressed sequence) (Hermes),Rbpms Hermes,Mus musculus (Mouse),197
Q8VE37,Q8VE37,RCC1_MOUSE,reviewed,Regulator of chromosome condensation (Chromosome condensation protein 1),Rcc1 Chc1,Mus musculus (Mouse),421
P54728,P54728,RD23B_MOUSE,reviewed,UV excision repair protein RAD23 homolog B (HR23B) (mHR23B) (XP-C repair-complementing complex 58 kDa protein) (p58),Rad23b Mhr23b,Mus musculus (Mouse),416
Q9QYF1,Q9QYF1,RDH11_MOUSE,reviewed,Retinol dehydrogenase 11 (EC 1.1.1.300) (Androgen-regulated short-chain dehydrogenase/reductase 1) (Cell line MC/9.IL4-derived protein 1) (M42C60) (Prostate short-chain dehydrogenase/reductase 1) (Retinal reductase 1) (RalR1) (Short-chain aldehyde dehydrogenase) (SCALD),Rdh11 Arsdr1 Mdt1 Psdr1,Mus musculus (Mouse),316
Q9ERI6,Q9ERI6,RDH14_MOUSE,reviewed,Retinol dehydrogenase 14 (EC 1.1.1.300) (Alcohol dehydrogenase PAN2),Rdh14 Pan2,Mus musculus (Mouse),334
O54909,O54909,RDH16_MOUSE,reviewed,Retinol dehydrogenase 16 (EC 1.1.1.105) (EC 1.1.1.209) (EC 1.1.1.315) (EC 1.1.1.53) (Cis-retinol androgen dehydrogenase 1),Rdh16 Crad Crad1 Rdh1 Rdh6,Mus musculus (Mouse),317
O88451,O88451,RDH7_MOUSE,reviewed,Retinol dehydrogenase 7 (EC 1.1.1.105) (Cis-retinol/3alpha-hydroxysterol short-chain dehydrogenase isozyme 2) (Cis-retinol/androgen dehydrogenase type 2) (CRAD-2),Rdh7 Crad2,Mus musculus (Mouse),316
Q9JM62,Q9JM62,REEP6_MOUSE,reviewed,Receptor expression-enhancing protein 6 (Polyposis locus protein 1-like 1) (TB2 protein-like 1),Reep6 Dp1l1 Tb2l1,Mus musculus (Mouse),201
Q9EPU0,Q9EPU0,RENT1_MOUSE,reviewed,Regulator of nonsense transcripts 1 (EC 3.6.4.12) (EC 3.6.4.13) (ATP-dependent helicase RENT1) (Nonsense mRNA reducing factor 1) (NORF1) (Up-frameshift suppressor 1 homolog) (mUpf1),Upf1 Rent1,Mus musculus (Mouse),1124
Q9CQU3,Q9CQU3,RER1_MOUSE,reviewed,Protein RER1,Rer1,Mus musculus (Mouse),196
Q64FW2,Q64FW2,RETST_MOUSE,reviewed,"All-trans-retinol 13,14-reductase (EC 1.3.99.23) (All-trans-13,14-dihydroretinol saturase) (RetSat) (PPAR-alpha-regulated and starvation-induced gene protein)",Retsat Ppsig,Mus musculus (Mouse),609
Q64374,Q64374,RGN_MOUSE,reviewed,Regucalcin (RC) (Gluconolactonase) (GNL) (EC 3.1.1.17) (Senescence marker protein 30) (SMP-30),Rgn Smp30,Mus musculus (Mouse),299
Q9QUI0,Q9QUI0,RHOA_MOUSE,reviewed,Transforming protein RhoA (EC 3.6.5.2),Rhoa Arha Arha2,Mus musculus (Mouse),193
P52760,P52760,RIDA_MOUSE,reviewed,2-iminobutanoate/2-iminopropanoate deaminase (EC 3.5.99.10) (Heat-responsive protein 12) (Reactive intermediate imine deaminase A homolog) (Translation inhibitor L-PSP ribonuclease),Rida Hrp12,Mus musculus (Mouse),135
Q91VI7,Q91VI7,RINI_MOUSE,reviewed,Ribonuclease inhibitor (Ribonuclease/angiogenin inhibitor 1),Rnh1 Rnh,Mus musculus (Mouse),456
Q920A5,Q920A5,RISC_MOUSE,reviewed,Retinoid-inducible serine carboxypeptidase (EC 3.4.16.-) (Serine carboxypeptidase 1),Scpep1 Risc,Mus musculus (Mouse),452
P53026,P53026,RL10A_MOUSE,reviewed,60S ribosomal protein L10a (CSA-19) (Neural precursor cell expressed developmentally down-regulated protein 6) (NEDD-6),Rpl10a Nedd-6 Nedd6,Mus musculus (Mouse),217
Q6ZWV3,Q6ZWV3,RL10_MOUSE,reviewed,60S ribosomal protein L10 (Protein QM homolog) (Ribosomal protein L10),Rpl10 Qm,Mus musculus (Mouse),214
Q9CXW4,Q9CXW4,RL11_MOUSE,reviewed,60S ribosomal protein L11,Rpl11,Mus musculus (Mouse),178
P35979,P35979,RL12_MOUSE,reviewed,60S ribosomal protein L12,Rpl12,Mus musculus (Mouse),165
P19253,P19253,RL13A_MOUSE,reviewed,60S ribosomal protein L13a (Transplantation antigen P198) (Tum-P198 antigen),Rpl13a P198 Tstap198-7,Mus musculus (Mouse),203
P47963,P47963,RL13_MOUSE,reviewed,60S ribosomal protein L13 (A52),Rpl13,Mus musculus (Mouse),211
Q9CR57,Q9CR57,RL14_MOUSE,reviewed,60S ribosomal protein L14,Rpl14,Mus musculus (Mouse),217
Q9CZM2,Q9CZM2,RL15_MOUSE,reviewed,60S ribosomal protein L15,Rpl15,Mus musculus (Mouse),204
Q9CPR4,Q9CPR4,RL17_MOUSE,reviewed,60S ribosomal protein L17,Rpl17,Mus musculus (Mouse),184
P62717,P62717,RL18A_MOUSE,reviewed,60S ribosomal protein L18a,Rpl18a,Mus musculus (Mouse),176
P35980,P35980,RL18_MOUSE,reviewed,60S ribosomal protein L18,Rpl18,Mus musculus (Mouse),188
P84099,P84099,RL19_MOUSE,reviewed,60S ribosomal protein L19,Rpl19,Mus musculus (Mouse),196
Q8BVY0,Q8BVY0,RL1D1_MOUSE,reviewed,Ribosomal L1 domain-containing protein 1,Rsl1d1,Mus musculus (Mouse),452
O09167,O09167,RL21_MOUSE,reviewed,60S ribosomal protein L21,Rpl21,Mus musculus (Mouse),160
P67984,P67984,RL22_MOUSE,reviewed,60S ribosomal protein L22 (Heparin-binding protein HBp15),Rpl22,Mus musculus (Mouse),128
P62751,P62751,RL23A_MOUSE,reviewed,60S ribosomal protein L23a,Rpl23a,Mus musculus (Mouse),156
P62830,P62830,RL23_MOUSE,reviewed,60S ribosomal protein L23,Rpl23,Mus musculus (Mouse),140
Q8BP67,Q8BP67,RL24_MOUSE,reviewed,60S ribosomal protein L24,Rpl24,Mus musculus (Mouse),157
P14115,P14115,RL27A_MOUSE,reviewed,60S ribosomal protein L27a (L29),Rpl27a,Mus musculus (Mouse),148
P61358,P61358,RL27_MOUSE,reviewed,60S ribosomal protein L27,Rpl27,Mus musculus (Mouse),136
P62889,P62889,RL30_MOUSE,reviewed,60S ribosomal protein L30,Rpl30,Mus musculus (Mouse),115
P62900,P62900,RL31_MOUSE,reviewed,60S ribosomal protein L31,Rpl31,Mus musculus (Mouse),125
P62911,P62911,RL32_MOUSE,reviewed,60S ribosomal protein L32,Rpl32,Mus musculus (Mouse),135
Q6ZWV7,Q6ZWV7,RL35_MOUSE,reviewed,60S ribosomal protein L35,Rpl35,Mus musculus (Mouse),123
P61514,P61514,RL37A_MOUSE,reviewed,60S ribosomal protein L37a,Rpl37a,Mus musculus (Mouse),92
Q9JJI8,Q9JJI8,RL38_MOUSE,reviewed,60S ribosomal protein L38,Rpl38,Mus musculus (Mouse),70
P27659,P27659,RL3_MOUSE,reviewed,60S ribosomal protein L3 (J1 protein),Rpl3,Mus musculus (Mouse),403
Q9D8E6,Q9D8E6,RL4_MOUSE,reviewed,60S ribosomal protein L4,Rpl4,Mus musculus (Mouse),419
P47962,P47962,RL5_MOUSE,reviewed,60S ribosomal protein L5,Rpl5,Mus musculus (Mouse),297
P47911,P47911,RL6_MOUSE,reviewed,60S ribosomal protein L6 (TAX-responsive enhancer element-binding protein 107) (TAXREB107),Rpl6,Mus musculus (Mouse),296
P12970,P12970,RL7A_MOUSE,reviewed,60S ribosomal protein L7a (Surfeit locus protein 3),Rpl7a Surf-3 Surf3,Mus musculus (Mouse),266
P14148,P14148,RL7_MOUSE,reviewed,60S ribosomal protein L7,Rpl7,Mus musculus (Mouse),270
P62918,P62918,RL8_MOUSE,reviewed,60S ribosomal protein L8,Rpl8,Mus musculus (Mouse),257
P51410,P51410,RL9_MOUSE,reviewed,60S ribosomal protein L9,Rpl9,Mus musculus (Mouse),192
P14869,P14869,RLA0_MOUSE,reviewed,60S acidic ribosomal protein P0 (60S ribosomal protein L10E),Rplp0 Arbp,Mus musculus (Mouse),317
P47955,P47955,RLA1_MOUSE,reviewed,60S acidic ribosomal protein P1,Rplp1,Mus musculus (Mouse),114
P99027,P99027,RLA2_MOUSE,reviewed,60S acidic ribosomal protein P2,Rplp2,Mus musculus (Mouse),115
Q99N96,Q99N96,RM01_MOUSE,reviewed,"39S ribosomal protein L1, mitochondrial (L1mt) (MRP-L1)",Mrpl1,Mus musculus (Mouse),336
Q9DCU6,Q9DCU6,RM04_MOUSE,reviewed,"39S ribosomal protein L4, mitochondrial (L4mt) (MRP-L4)",Mrpl4 MNCb-3848,Mus musculus (Mouse),294
Q3TBW2,Q3TBW2,RM10_MOUSE,reviewed,"39S ribosomal protein L10, mitochondrial (L10mt) (MRP-L10)",Mrpl10,Mus musculus (Mouse),262
Q9CQF0,Q9CQF0,RM11_MOUSE,reviewed,"39S ribosomal protein L11, mitochondrial (L11mt) (MRP-L11)",Mrpl11,Mus musculus (Mouse),192
Q9DB15,Q9DB15,RM12_MOUSE,reviewed,"39S ribosomal protein L12, mitochondrial (L12mt) (MRP-L12)",Mrpl12 Rpml12,Mus musculus (Mouse),201
Q9D1P0,Q9D1P0,RM13_MOUSE,reviewed,"39S ribosomal protein L13, mitochondrial (L13mt) (MRP-L13)",Mrpl13,Mus musculus (Mouse),178
Q9D1N9,Q9D1N9,RM21_MOUSE,reviewed,"39S ribosomal protein L21, mitochondrial (L21mt) (MRP-L21)",Mrpl21 D9Wsu149,Mus musculus (Mouse),209
O35972,O35972,RM23_MOUSE,reviewed,"39S ribosomal protein L23, mitochondrial (L23mt) (MRP-L23) (L23 mitochondrial-related protein)",Mrpl23 L23mrp,Mus musculus (Mouse),146
Q921S7,Q921S7,RM37_MOUSE,reviewed,"39S ribosomal protein L37, mitochondrial (L37mt) (MRP-L37)",Mrpl37,Mus musculus (Mouse),423
Q9JKF7,Q9JKF7,RM39_MOUSE,reviewed,"39S ribosomal protein L39, mitochondrial (L39mt) (MRP-L39)",Mrpl39,Mus musculus (Mouse),336
Q9Z2Q5,Q9Z2Q5,RM40_MOUSE,reviewed,"39S ribosomal protein L40, mitochondrial (L40mt) (MRP-L40) (Nuclear localization signal-containing protein deleted in velocardiofacial syndrome homolog)",Mrpl40 Nlvcf,Mus musculus (Mouse),206
Q9EQI8,Q9EQI8,RM46_MOUSE,reviewed,"39S ribosomal protein L46, mitochondrial (L46mt) (MRP-L46)",Mrpl46,Mus musculus (Mouse),283
Q8BSE0,Q8BSE0,RMD2_MOUSE,reviewed,Regulator of microtubule dynamics protein 2 (RMD-2) (mRMD-2) (Protein FAM82A1),Rmdn2 Fam82a Fam82a1,Mus musculus (Mouse),410
Q3UJU9,Q3UJU9,RMD3_MOUSE,reviewed,Regulator of microtubule dynamics protein 3 (RMD-3) (mRMD-3) (Protein FAM82A2) (Protein FAM82C),Rmdn3 Fam82a2 Fam82c,Mus musculus (Mouse),470
Q91VM5,Q91VM5,RMXL1_MOUSE,reviewed,"RNA binding motif protein, X-linked-like-1 (Heterogeneous nuclear ribonucleoprotein G-like 1) (RNA binding motif protein, X chromosome retrogene)",Rbmxl1 Rbmxrt,Mus musculus (Mouse),388
C0HKG5,C0HKG5,RNT2A_MOUSE,reviewed,Ribonuclease T2-A (EC 4.6.1.19) (Ribonuclease 6-A),Rnaset2a Rnase6pl,Mus musculus (Mouse),259
P49312,P49312,ROA1_MOUSE,reviewed,"Heterogeneous nuclear ribonucleoprotein A1 (hnRNP A1) (HDP-1) (Helix-destabilizing protein) (Single-strand-binding protein) (Topoisomerase-inhibitor suppressed) (hnRNP core protein A1) [Cleaved into: Heterogeneous nuclear ribonucleoprotein A1, N-terminally processed]",Hnrnpa1 Fli-2 Hnrpa1 Tis,Mus musculus (Mouse),320
O88569,O88569,ROA2_MOUSE,reviewed,Heterogeneous nuclear ribonucleoproteins A2/B1 (hnRNP A2/B1),Hnrnpa2b1 Hnrpa2b1,Mus musculus (Mouse),353
Q8BG05,Q8BG05,ROA3_MOUSE,reviewed,Heterogeneous nuclear ribonucleoprotein A3 (hnRNP A3),Hnrnpa3 Hnrpa3,Mus musculus (Mouse),379
Q99020,Q99020,ROAA_MOUSE,reviewed,Heterogeneous nuclear ribonucleoprotein A/B (hnRNP A/B) (CArG-binding factor-A) (CBF-A),Hnrnpab Cbf-a Cgbfa Hnrpab,Mus musculus (Mouse),285
Q91YQ5,Q91YQ5,RPN1_MOUSE,reviewed,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1 (Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 67 kDa subunit) (Ribophorin I) (RPN-I) (Ribophorin-1),Rpn1,Mus musculus (Mouse),608
Q9DBG6,Q9DBG6,RPN2_MOUSE,reviewed,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2 (Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 63 kDa subunit) (Ribophorin II) (RPN-II) (Ribophorin-2),Rpn2,Mus musculus (Mouse),631
P62071,P62071,RRAS2_MOUSE,reviewed,Ras-related protein R-Ras2 (EC 3.6.5.-),Rras2,Mus musculus (Mouse),204
Q99PL5,Q99PL5,RRBP1_MOUSE,reviewed,Ribosome-binding protein 1 (Ribosome receptor protein) (RRp) (mRRp),Rrbp1,Mus musculus (Mouse),1605
Q8R2Q4,Q8R2Q4,RRF2M_MOUSE,reviewed,"Ribosome-releasing factor 2, mitochondrial (RRF2mt) (Elongation factor G 2, mitochondrial) (EF-G2mt) (mEF-G 2)",Gfm2 Efg2,Mus musculus (Mouse),779
Q9D6S7,Q9D6S7,RRFM_MOUSE,reviewed,"Ribosome-recycling factor, mitochondrial (RRF) (Ribosome-releasing factor, mitochondrial)",Mrrf,Mus musculus (Mouse),262
P63325,P63325,RS10_MOUSE,reviewed,40S ribosomal protein S10,Rps10,Mus musculus (Mouse),165
P62281,P62281,RS11_MOUSE,reviewed,40S ribosomal protein S11,Rps11,Mus musculus (Mouse),158
P63323,P63323,RS12_MOUSE,reviewed,40S ribosomal protein S12,Rps12,Mus musculus (Mouse),132
P62301,P62301,RS13_MOUSE,reviewed,40S ribosomal protein S13,Rps13,Mus musculus (Mouse),151
P62264,P62264,RS14_MOUSE,reviewed,40S ribosomal protein S14,Rps14,Mus musculus (Mouse),151
P62245,P62245,RS15A_MOUSE,reviewed,40S ribosomal protein S15a,Rps15a,Mus musculus (Mouse),130
P62843,P62843,RS15_MOUSE,reviewed,40S ribosomal protein S15 (RIG protein),Rps15 Rig,Mus musculus (Mouse),145
P14131,P14131,RS16_MOUSE,reviewed,40S ribosomal protein S16,Rps16,Mus musculus (Mouse),146
P63276,P63276,RS17_MOUSE,reviewed,40S ribosomal protein S17,Rps17,Mus musculus (Mouse),135
P62270,P62270,RS18_MOUSE,reviewed,40S ribosomal protein S18 (Ke-3) (Ke3),Rps18,Mus musculus (Mouse),152
Q9CZX8,Q9CZX8,RS19_MOUSE,reviewed,40S ribosomal protein S19,Rps19,Mus musculus (Mouse),145
P60867,P60867,RS20_MOUSE,reviewed,40S ribosomal protein S20,Rps20,Mus musculus (Mouse),119
Q9CQR2,Q9CQR2,RS21_MOUSE,reviewed,40S ribosomal protein S21,Rps21,Mus musculus (Mouse),83
P62267,P62267,RS23_MOUSE,reviewed,40S ribosomal protein S23,Rps23,Mus musculus (Mouse),143
P62849,P62849,RS24_MOUSE,reviewed,40S ribosomal protein S24,Rps24,Mus musculus (Mouse),133
P62852,P62852,RS25_MOUSE,reviewed,40S ribosomal protein S25,Rps25,Mus musculus (Mouse),125
P62855,P62855,RS26_MOUSE,reviewed,40S ribosomal protein S26,Rps26,Mus musculus (Mouse),115
P62983,P62983,RS27A_MOUSE,reviewed,Ubiquitin-40S ribosomal protein S27a (Ubiquitin carboxyl extension protein 80) [Cleaved into: Ubiquitin; 40S ribosomal protein S27a],Rps27a Uba80 Ubcep1,Mus musculus (Mouse),156
Q6ZWY3,Q6ZWY3,RS27L_MOUSE,reviewed,40S ribosomal protein S27-like,Rps27l,Mus musculus (Mouse),84
P62858,P62858,RS28_MOUSE,reviewed,40S ribosomal protein S28,Rps28,Mus musculus (Mouse),69
P25444,P25444,RS2_MOUSE,reviewed,40S ribosomal protein S2 (40S ribosomal protein S4) (Protein LLRep3),Rps2 Llrep3 Rps4,Mus musculus (Mouse),293
P97351,P97351,RS3A_MOUSE,reviewed,40S ribosomal protein S3a (Protein TU-11),Rps3a Rps3a1,Mus musculus (Mouse),264
P62908,P62908,RS3_MOUSE,reviewed,40S ribosomal protein S3 (EC 4.2.99.18),Rps3,Mus musculus (Mouse),243
P62702,P62702,RS4X_MOUSE,reviewed,"40S ribosomal protein S4, X isoform",Rps4x Rps4,Mus musculus (Mouse),263
P97461,P97461,RS5_MOUSE,reviewed,"40S ribosomal protein S5 [Cleaved into: 40S ribosomal protein S5, N-terminally processed]",Rps5,Mus musculus (Mouse),204
P62754,P62754,RS6_MOUSE,reviewed,40S ribosomal protein S6 (Phosphoprotein NP33),Rps6,Mus musculus (Mouse),249
P62082,P62082,RS7_MOUSE,reviewed,40S ribosomal protein S7,Rps7,Mus musculus (Mouse),194
P62242,P62242,RS8_MOUSE,reviewed,40S ribosomal protein S8,Rps8,Mus musculus (Mouse),208
Q6ZWN5,Q6ZWN5,RS9_MOUSE,reviewed,40S ribosomal protein S9,Rps9,Mus musculus (Mouse),194
P27048,P27048,RSMB_MOUSE,reviewed,Small nuclear ribonucleoprotein-associated protein B (snRNP-B) (snRPB) (Sm protein B) (Sm-B) (SmB),Snrpb,Mus musculus (Mouse),231
P14206,P14206,RSSA_MOUSE,reviewed,40S ribosomal protein SA (37 kDa laminin receptor precursor) (37LRP) (37 kDa oncofetal antigen) (37/67 kDa laminin receptor) (LRP/LR) (67 kDa laminin receptor) (67LR) (Laminin receptor 1) (LamR) (Laminin-binding protein precursor p40) (LBP/p40) (OFA/iLRP),Rpsa Lamr1 P40-8,Mus musculus (Mouse),295
Q01730,Q01730,RSU1_MOUSE,reviewed,Ras suppressor protein 1 (RSP-1) (Rsu-1),Rsu1 Rsp1,Mus musculus (Mouse),277
Q924T2,Q924T2,RT02_MOUSE,reviewed,"28S ribosomal protein S2, mitochondrial (MRP-S2) (S2mt)",Mrps2,Mus musculus (Mouse),291
Q9CXW2,Q9CXW2,RT22_MOUSE,reviewed,"28S ribosomal protein S22, mitochondrial (MRP-S22) (S22mt)",Mrps22 Rpms22,Mus musculus (Mouse),359
Q8VE22,Q8VE22,RT23_MOUSE,reviewed,"28S ribosomal protein S23, mitochondrial (MRP-S23) (S23mt)",Mrps23,Mus musculus (Mouse),177
Q9ER88,Q9ER88,RT29_MOUSE,reviewed,"28S ribosomal protein S29, mitochondrial (MRP-S29) (S29mt) (Death-associated protein 3) (DAP-3)",Dap3 Mrps29,Mus musculus (Mouse),391
Q9D0G0,Q9D0G0,RT30_MOUSE,reviewed,"28S ribosomal protein S30, mitochondrial (MRP-S30) (S30mt)",Mrps30,Mus musculus (Mouse),442
Q9JIK9,Q9JIK9,RT34_MOUSE,reviewed,"28S ribosomal protein S34, mitochondrial (MRP-S34) (S34mt) (T-complex expressed gene 2 protein)",Mrps34 Tce2,Mus musculus (Mouse),218
Q8BJZ4,Q8BJZ4,RT35_MOUSE,reviewed,"28S ribosomal protein S35, mitochondrial (MRP-S35) (S35mt)",Mrps35,Mus musculus (Mouse),320
Q9CQX8,Q9CQX8,KGD4_MOUSE,reviewed,Alpha-ketoglutarate dehydrogenase component 4,Mrps36 Kgd4,Mus musculus (Mouse),102
Q924D0,Q924D0,RT4I1_MOUSE,reviewed,"Reticulon-4-interacting protein 1, mitochondrial (NOGO-interacting mitochondrial protein)",Rtn4ip1 Nimp,Mus musculus (Mouse),396
Q99LF4,Q99LF4,RTCB_MOUSE,reviewed,RNA-splicing ligase RtcB homolog (EC 6.5.1.8) (3'-phosphate/5'-hydroxy nucleic acid ligase) (Focal adhesion-associated protein) (FAAP),Rtcb D10Wsu52e,Mus musculus (Mouse),505
Q99P72,Q99P72,RTN4_MOUSE,reviewed,Reticulon-4 (Neurite outgrowth inhibitor) (Nogo protein),Rtn4 Kiaa0886 Nogo,Mus musculus (Mouse),1162
Q9CQE8,Q9CQE8,RTRAF_MOUSE,reviewed,"RNA transcription, translation and transport factor protein",RTRAF,Mus musculus (Mouse),244
P57784,P57784,RU2A_MOUSE,reviewed,U2 small nuclear ribonucleoprotein A' (U2 snRNP A'),Snrpa1,Mus musculus (Mouse),255
Q91W34,Q91W34,RUSF1_MOUSE,reviewed,RUS family member 1,Rusf1,Mus musculus (Mouse),466
P60122,P60122,RUVB1_MOUSE,reviewed,RuvB-like 1 (EC 3.6.4.12) (49 kDa TATA box-binding protein-interacting protein) (49 kDa TBP-interacting protein) (DNA helicase p50) (Pontin 52) (TIP49a),Ruvbl1 Tip49 Tip49a,Mus musculus (Mouse),456
Q9WTM5,Q9WTM5,RUVB2_MOUSE,reviewed,RuvB-like 2 (EC 3.6.4.12) (p47 protein),Ruvbl2,Mus musculus (Mouse),463
Q99J08,Q99J08,S14L2_MOUSE,reviewed,SEC14-like protein 2 (Alpha-tocopherol-associated protein) (TAP),Sec14l2,Mus musculus (Mouse),403
Q8R0F9,Q8R0F9,S14L4_MOUSE,reviewed,SEC14-like protein 4,Sec14l4,Mus musculus (Mouse),403
O08966,O08966,S22A1_MOUSE,reviewed,Solute carrier family 22 member 1 (Organic cation transporter 1) (mOCT1),Slc22a1 Lx1 Oct1,Mus musculus (Mouse),556
Q8R0Y8,Q8R0Y8,S2542_MOUSE,reviewed,Mitochondrial coenzyme A transporter SLC25A42 (Solute carrier family 25 member 42),Slc25a42,Mus musculus (Mouse),318
Q8CFJ7,Q8CFJ7,S2545_MOUSE,reviewed,Solute carrier family 25 member 45,Slc25a45,Mus musculus (Mouse),288
P58735,P58735,S26A1_MOUSE,reviewed,Sulfate anion transporter 1 (SAT-1) (Solute carrier family 26 member 1),Slc26a1 Sat1,Mus musculus (Mouse),704
O35488,O35488,S27A2_MOUSE,reviewed,"Very long-chain acyl-CoA synthetase (VLACS) (VLCS) (EC 6.2.1.-) (Arachidonate--CoA ligase) (EC 6.2.1.15) (Fatty acid transport protein 2) (FATP-2) (Fatty-acid-coenzyme A ligase, very long-chain 1) (Long-chain-fatty-acid--CoA ligase) (EC 6.2.1.3) (Phytanate--CoA ligase) (EC 6.2.1.24) (Solute carrier family 27 member 2) (THCA-CoA ligase) (EC 6.2.1.7) (Very long-chain-fatty-acid-CoA ligase)",Slc27a2 Acsvl1 Facvl1 Fatp2 Vlacs Vlcs,Mus musculus (Mouse),620
Q4LDG0,Q4LDG0,S27A5_MOUSE,reviewed,Bile acyl-CoA synthetase (BACS) (EC 6.2.1.7) (Bile acid-CoA ligase) (BA-CoA ligase) (BAL) (Cholate--CoA ligase) (Fatty acid transport protein 5) (FATP-5) (Solute carrier family 27 member 5) (Very long-chain acyl-CoA synthetase-related protein) (VLACS-related) (VLACSR),Slc27a5 Acsb Acsvl6 Fatp5 Vlacsr,Mus musculus (Mouse),689
Q9JIM1,Q9JIM1,S29A1_MOUSE,reviewed,"Equilibrative nucleoside transporter 1 (Equilibrative nitrobenzylmercaptopurine riboside-sensitive nucleoside transporter) (Equilibrative NBMPR-sensitive nucleoside transporter) (Nucleoside transporter, es-type) (Solute carrier family 29 member 1)",Slc29a1 Ent1,Mus musculus (Mouse),460
A2AKQ0,A2AKQ0,S35D1_MOUSE,reviewed,UDP-glucuronic acid/UDP-N-acetylgalactosamine transporter (UDP-GlcA/UDP-GalNAc transporter) (Solute carrier family 35 member D1),Slc35d1,Mus musculus (Mouse),355
Q9DCP2,Q9DCP2,S38A3_MOUSE,reviewed,Sodium-coupled neutral amino acid transporter 3 (N-system amino acid transporter 1) (Na(+)-coupled neutral amino acid transporter 3) (Solute carrier family 38 member 3) (mNAT) (System N amino acid transporter 1),Slc38a3 Sn1 Snat3,Mus musculus (Mouse),505
Q31125,Q31125,S39A7_MOUSE,reviewed,"Zinc transporter SLC39A7 (Histidine-rich membrane protein Ke4) (Solute carrier family 39 member 7) (Zrt-, Irt-like protein 7) (ZIP7)",Slc39a7 H2-Ke4 Hke4,Mus musculus (Mouse),476
P61620,P61620,S61A1_MOUSE,reviewed,Protein transport protein Sec61 subunit alpha isoform 1 (Sec61 alpha-1),Sec61a1 Sec61a,Mus musculus (Mouse),476
Q9EP69,Q9EP69,SAC1_MOUSE,reviewed,Phosphatidylinositol-3-phosphatase SAC1 (EC 3.1.3.64) (Phosphatidylinositol-4-phosphate phosphatase) (Suppressor of actin mutations 1-like protein),Sacm1l Kiaa0851 Sac1,Mus musculus (Mouse),587
Q80SW1,Q80SW1,SAHH2_MOUSE,reviewed,"S-adenosylhomocysteine hydrolase-like protein 1 (IP3R-binding protein released with inositol 1,4,5-trisphosphate) (Putative adenosylhomocysteinase 2) (S-adenosyl-L-homocysteine hydrolase 2) (AdoHcyase 2)",Ahcyl1 Irbit,Mus musculus (Mouse),530
P50247,P50247,SAHH_MOUSE,reviewed,Adenosylhomocysteinase (AdoHcyase) (EC 3.3.1.1) (CUBP) (Liver copper-binding protein) (S-adenosyl-L-homocysteine hydrolase),Ahcy,Mus musculus (Mouse),432
Q8BGH2,Q8BGH2,SAM50_MOUSE,reviewed,Sorting and assembly machinery component 50 homolog,Samm50,Mus musculus (Mouse),469
Q60710,Q60710,SAMH1_MOUSE,reviewed,Deoxynucleoside triphosphate triphosphohydrolase SAMHD1 (dNTPase) (EC 3.1.5.-) (Interferon-gamma-inducible protein Mg11) (SAM domain and HD domain-containing protein 1) (mSAMHD1),Samhd1 Mg21,Mus musculus (Mouse),658
P36536,P36536,SAR1A_MOUSE,reviewed,GTP-binding protein SAR1a,Sar1a Sara Sara1,Mus musculus (Mouse),198
Q9CQC9,Q9CQC9,SAR1B_MOUSE,reviewed,GTP-binding protein SAR1b,Sar1b Sara1b Sara2,Mus musculus (Mouse),198
Q99LB7,Q99LB7,SARDH_MOUSE,reviewed,"Sarcosine dehydrogenase, mitochondrial (SarDH) (EC 1.5.8.3)",Sardh,Mus musculus (Mouse),919
P17563,P17563,SBP1_MOUSE,reviewed,Methanethiol oxidase (MTO) (EC 1.8.3.4) (56 kDa selenium-binding protein) (SBP56) (SP56) (Selenium-binding protein 1),Selenbp1 Lpsb,Mus musculus (Mouse),472
Q63836,Q63836,SBP2_MOUSE,reviewed,Selenium-binding protein 2 (56 kDa acetaminophen-binding protein) (AP56),Selenbp2 Lpsb2,Mus musculus (Mouse),472
